Order_ID,Date,Region,Salesperson,Product,Category,Units,Unit_Price,Total_Sales
ORD001,2026-03-12,South,Priya,Monitor,Electronics,1,18000,18000
ORD002,2026-06-23,North,Vikram,Keyboard,Accessories,2,1500,3000
ORD003,2026-01-08,North,Priya,Printer,Office Equipment,1,12000,12000
ORD004,2026-05-24,South,Neha,Mouse,Accessories,1,800,800
ORD005,2026-02-26,West,Vikram,Desk,Furniture,7,14000,98000
ORD006,2026-02-10,West,Rahul,Headphones,Accessories,1,2500,2500
ORD007,2026-02-25,East,Aarav,Headphones,Accessories,3,2500,7500
ORD008,2026-01-25,East,Rahul,Monitor,Electronics,7,18000,126000
ORD009,2026-01-12,West,Vikram,Webcam,Electronics,5,3500,17500
ORD010,2026-01-21,East,Neha,Monitor,Electronics,7,18000,126000
ORD011,2026-05-28,South,Neha,Webcam,Electronics,6,3500,21000
ORD012,2026-06-19,South,Rahul,Monitor,Electronics,1,18000,18000
ORD013,2026-01-26,West,Rahul,Monitor,Electronics,4,18000,72000
ORD014,2026-02-11,East,Rahul,Office Chair,Furniture,6,9000,54000
ORD015,2026-06-29,North,Vikram,Mouse,Accessories,5,800,4000
ORD016,2026-02-11,West,Ananya,Keyboard,Accessories,4,1500,6000
ORD017,2026-06-25,East,Aarav,Headphones,Accessories,4,2500,10000
ORD018,2026-03-22,West,Rahul,Mouse,Accessories,1,800,800
ORD019,2026-05-26,East,Priya,Monitor,Electronics,4,18000,72000
ORD020,2026-06-14,West,Priya,Office Chair,Furniture,7,9000,63000
ORD021,2026-03-05,East,Neha,Headphones,Accessories,3,2500,7500
ORD022,2026-05-30,West,Rahul,Webcam,Electronics,7,3500,24500
ORD023,2026-05-11,West,Aarav,Mouse,Accessories,3,800,2400
ORD024,2026-02-09,South,Neha,Laptop,Electronics,2,55000,110000
ORD025,2026-04-09,West,Vikram,Printer,Office Equipment,2,12000,24000
ORD026,2026-05-22,North,Neha,Office Chair,Furniture,5,9000,45000
ORD027,2026-06-14,East,Aarav,Monitor,Electronics,5,18000,90000
ORD028,2026-02-10,West,Aarav,Headphones,Accessories,7,2500,17500
ORD029,2026-05-10,North,Neha,Headphones,Accessories,3,2500,7500
ORD030,2026-02-09,East,Priya,Headphones,Accessories,4,2500,10000
ORD031,2026-06-03,East,Ananya,Desk,Furniture,1,14000,14000
ORD032,2026-04-03,East,Priya,Laptop,Electronics,2,55000,110000
ORD033,2026-05-26,North,Aarav,Laptop,Electronics,4,55000,220000
ORD034,2026-05-17,South,Priya,Office Chair,Furniture,2,9000,18000
ORD035,2026-03-09,West,Priya,Office Chair,Furniture,3,9000,27000
ORD036,2026-03-21,West,Neha,Desk,Furniture,4,14000,56000
ORD037,2026-05-13,West,Aarav,Tablet,Electronics,8,28000,224000
ORD038,2026-01-17,East,Aarav,Mouse,Accessories,4,800,3200
